Started run at: 1713797821.54 seconds
Run folder: data/imagenet_hierarchy_k_0.5_256_22_04/v2-0_1trials_500_50_10_1keep_50_100_500_1000samples_256
Setting up dataset and prompts

Loading pretrained models...

Loading noise...

Tokenizing text prompts and creating embeddings...

Load subset to evaluate
Inference time: 117.39 seconds 

Inference time: 134.56 seconds 

Inference time: 107.00 seconds 

Inference time: 162.83 seconds 

Inference time: 141.51 seconds 

Inference time: 118.50 seconds 

Inference time: 142.23 seconds 

Inference time: 164.56 seconds 

Inference time: 79.03 seconds 

Inference time: 152.13 seconds 

Inference time: 146.58 seconds 

Inference time: 68.15 seconds 

Inference time: 83.14 seconds 

Inference time: 97.93 seconds 

Inference time: 94.32 seconds 

Inference time: 116.12 seconds 

Inference time: 142.16 seconds 

Inference time: 139.95 seconds 

Inference time: 68.51 seconds 

Inference time: 67.38 seconds 

Inference time: 98.26 seconds 

Inference time: 139.69 seconds 

Inference time: 142.06 seconds 

Inference time: 80.56 seconds 

Inference time: 156.74 seconds 

Inference time: 67.08 seconds 

Inference time: 166.91 seconds 

Inference time: 147.58 seconds 

Inference time: 162.59 seconds 

Inference time: 134.47 seconds 

Inference time: 118.61 seconds 

Inference time: 178.56 seconds 

Inference time: 137.60 seconds 

Inference time: 164.64 seconds 

Inference time: 143.15 seconds 

Inference time: 163.71 seconds 

Inference time: 173.11 seconds 

Inference time: 132.42 seconds 

Inference time: 110.98 seconds 

Inference time: 126.20 seconds 

Inference time: 148.61 seconds 

Inference time: 139.37 seconds 

Inference time: 159.55 seconds 

Inference time: 170.84 seconds 

Inference time: 137.60 seconds 

Inference time: 130.46 seconds 

Inference time: 128.07 seconds 

Inference time: 154.30 seconds 

Inference time: 95.98 seconds 

Inference time: 114.95 seconds 

Inference time: 143.39 seconds 

Inference time: 121.60 seconds 

Inference time: 70.28 seconds 

Inference time: 129.15 seconds 

Inference time: 175.86 seconds 

Inference time: 110.42 seconds 

Inference time: 101.73 seconds 

Inference time: 132.69 seconds 

Inference time: 126.39 seconds 

Inference time: 127.43 seconds 

Inference time: 148.73 seconds 

Inference time: 136.42 seconds 

Inference time: 133.08 seconds 

Inference time: 163.46 seconds 

Inference time: 162.57 seconds 

Inference time: 166.12 seconds 

Inference time: 141.19 seconds 

Inference time: 139.50 seconds 

Inference time: 131.69 seconds 

Inference time: 163.56 seconds 

Inference time: 139.75 seconds 

Inference time: 160.60 seconds 

Inference time: 150.43 seconds 

Inference time: 145.97 seconds 

Inference time: 136.19 seconds 

Inference time: 122.44 seconds 

Inference time: 132.06 seconds 

Inference time: 136.26 seconds 

